sep=,

File creation date: 20/02/2016
ANNEX II (CosIng 2),Last update: 23/06/2015
LIST OF SUBSTANCES PROHIBITED IN COSMETIC PRODUCTS

Substance identification

Reference Number,Chemical name / INN,CAS Number,EC Number,Regulation,Regulated By,Other Directives/Regulations,SCCS opinions,Chemical/IUPAC Name,Identified INGREDIENTS or substances e.g.,CMR,Update date
435,"Ethyl acrylate, when used as a fragrance ingredient","140-88-5","205-438-8","(EC) No 1223/2009","2002/34/EC","","0320/00-An Initial List of Perfumery Materials which must not form part of Fragrance Compounds used in Cosmetic Products","","ETHYL ACRYLATE","",20/10/2010
436,"Fig leaf absolute (Ficus carica L.), when used as a fragrance ingredient","68916-52-9 ","","(EC) No 1223/2009","2002/34/EC","","0320/00-An Initial List of Perfumery Materials which must not form part of Fragrance Compounds used in Cosmetic Products","","FICUS CARICA EXTRACT","",20/10/2010
437,"trans -2-Heptenal, when used as a fragrance ingredient","18829-55-5","242-608-0","(EC) No 1223/2009","2002/34/EC","","0320/00-An Initial List of Perfumery Materials which must not form part of Fragrance Compounds used in Cosmetic Products","","","",20/10/2010
438,"trans -2-Hexenal diethyl acetal, when used as a fragrance ingredient","67746-30-9","266-989-8","(EC) No 1223/2009","2002/34/EC","","0320/00-An Initial List of Perfumery Materials which must not form part of Fragrance Compounds used in Cosmetic Products","","","",20/10/2010
439,"trans -2-Hexenal dimethyl acetal, when used as a fragrance ingredient","18318-83-7","242-204-4","(EC) No 1223/2009","2002/34/EC","","0320/00-An Initial List of Perfumery Materials which must not form part of Fragrance Compounds used in Cosmetic Products","","","",20/10/2010
440,"Hydroabietyl alcohol, when used as a fragrance ingredient","26266-77-3 / 13393-93-6 ","247-574-0 / 236-476-3","(EC) No 1223/2009","2002/34/EC","","0320/00-An Initial List of Perfumery Materials which must not form part of Fragrance Compounds used in Cosmetic Products","1-Phenanthrenemethanol, dodecahydro-1,4a-dimethyl-7-(1-methylethyl)- ","HYDROABIETYL ALCOHOL","",20/10/2010
441,"6 -Isopropyl-2-decahydronaphthalenol, when used as a fragrance ingredient","34131-99-2","251-841-7","(EC) No 1223/2009","2002/34/EC","","0320/00-An Initial List of Perfumery Materials which must not form part of Fragrance Compounds used in Cosmetic Products","","","",20/10/2010
442,"7 -Methoxycoumarin, when used as a fragrance ingredient","531-59-9","208-513-3","(EC) No 1223/2009","2002/34/EC","","0320/00-An Initial List of Perfumery Materials which must not form part of Fragrance Compounds used in Cosmetic Products","","","",20/10/2010
443,"4 -(4-Methoxyphenyl)-3-butene-2-one (Anisylidene acetone), when used as a fragrance ingredient","943-88-4","213-404-9","(EC) No 1223/2009","2002/34/EC","","0320/00-An Initial List of Perfumery Materials which must not form part of Fragrance Compounds used in Cosmetic Products","","","",20/10/2010
444,"1 -(4-Methoxyphenyl)-1-pentene-3-one (alpha-Methylanisylideneacetone), when used as a fragrance ingredient","104-27-8","203-190-5","(EC) No 1223/2009","2002/34/EC","","0320/00-An Initial List of Perfumery Materials which must not form part of Fragrance Compounds used in Cosmetic Products","","","",20/10/2010
445,"Methyl trans -2-butenoate, when used as a fragrance ingredient","623-43-8","210-793-7","(EC) No 1223/2009","2002/34/EC","","0320/00-An Initial List of Perfumery Materials which must not form part of Fragrance Compounds used in Cosmetic Products","","","",20/10/2010
446,"7 -Methylcoumarin, when used as a fragrance ingredient","2445-83-2","219-499-3","(EC) No 1223/2009","2002/34/EC","","0320/00-An Initial List of Perfumery Materials which must not form part of Fragrance Compounds used in Cosmetic Products","","","",20/10/2010
447,"5 -Methyl-2,3-hexanedione (Acetyl isovaleryl), when used as a fragrance ingredient","13706-86-0","237-241-8","(EC) No 1223/2009","2002/34/EC","","0320/00-An Initial List of Perfumery Materials which must not form part of Fragrance Compounds used in Cosmetic Products","","","",20/10/2010
448,"2 -Pentylidenecyclohexanone, when used as a fragrance ingredient","25677-40-1","247-178-8","(EC) No 1223/2009","2002/34/EC","","0320/00-An Initial List of Perfumery Materials which must not form part of Fragrance Compounds used in Cosmetic Products","","","",20/10/2010
449,"3,6,10 -Trimethyl-3,5,9-undecatrien-2-one (Pseudo-Isomethyl ionone), when used as a fragrance ingredient","1117-41-5","214-245-8","(EC) No 1223/2009","2002/34/EC","","0320/00-An Initial List of Perfumery Materials which must not form part of Fragrance Compounds used in Cosmetic Products","","","",20/10/2010
450,"Verbena essential oils (Lippia citriodora Kunth.) and derivatives other than absolute when used as a fragrance ingredient","8024-12-2","285-515-0","(EC) No 344/2013","","","0320/00-An Initial List of Perfumery Materials which must not form part of Fragrance Compounds used in Cosmetic Products;0392/00-An Initial List of Perfumery Materials which must not form part of Cosmetic products except subject to the restrictions and conditions laid down;1073/06-Clarification to opinions SCCNFP/0392/00 and SCCNFP/0320/00 concerning the Conditions of Use of Fragrance Ingredients obtained from Verbena (Lippia citiodrora Kunth) in Cosmetic Products","","","",05/06/2014
452,"6 -(2-Chloroethyl)-6-(2-methoxyethoxy)-2,5,7,10-tetraoxa-6-silaundecane ","37894-46-5","253-704-7","(EC) No 1223/2009","2004/93/EC","","0474/01-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC;0825/04-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC","","","Reprotoxic Cat. 1B  ",20/10/2010
453,"Cobalt dichloride","7646-79-9","231-589-4","(EC) No 1223/2009","2004/93/EC","790/2009 ","0474/01-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC;0825/04-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC","","COBALT CHLORIDE","Carcinogenic Cat. 1B (C=>0.01%)  ",17/12/2010
454,"Cobalt sulphate","10124-43-3","233-334-2","(EC) No 1223/2009","2004/93/EC","790/2009 ","0474/01-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC;0825/04-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC","","","Carcinogenic Cat. 1B (C=>0.01%)  ",17/12/2010
455,"Nickel monoxide [1]; nickel oxide [2]; bunsenite [3]","1313-99-1 [1] / 11099-02-8 [2] / 34492-97-2 [3]","215-215-7 [1] / 234-323-5 [2] / - [3]","(EC) No 1223/2009","2004/93/EC","790/2009 ","0474/01-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC;0825/04-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC","","(*)Bunsenite;(*)Nickel oxide","Carcinogenic Cat. 1A  ",01/12/2010
456,"Dinickel trioxide","1314-06-3","215-217-8","(EC) No 1223/2009","2004/93/EC","790/2009 ","0474/01-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC;0825/04-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC","","","Carcinogenic Cat. 1A  ",17/12/2010
457,"Nickel dioxide","12035-36-8","234-823-3","(EC) No 1223/2009","2004/93/EC","790/2009 ","0474/01-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC;0825/04-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC","","","Carcinogenic Cat. 1A  ",17/12/2010
458,"Trinickel disulfide; nickel subsulfied [1]; heazlewoodite [2] ","12035-72-2 [1] / 123035-71-1 [2]","234-829-6 [1] / - [2]","(EC) No 1223/2009","2004/93/EC","790/2009 ","0474/01-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC;0825/04-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC","","","Carcinogenic Cat. 1A  Mutagenic Cat. 2  ",29/10/2010
459,"Tetracarbonylnickel","13463-39-3","236-669-2","(EC) No 1223/2009","2004/93/EC","","0474/01-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC;0825/04-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC","","","Reprotoxic Cat. 1B  Carcinogenic Cat. 2  ",15/10/2010
460,"Nickel (II) sulfide [1]; nickel sulfide [2]; millerite[3]","16812-54-7 [1] / 11113-75-0 [2] / 1314-01-4 [3]","240-841-2 [1] / 234-349-7 [2] / - [3] ","(EC) No 1223/2009","2004/93/EC","790/2009 ","0474/01-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC;0825/04-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC","","","Carcinogenic Cat. 1A  Mutagenic Cat. 2  ",29/10/2010
461,"Potassium bromate","7758-01-2","231-829-8","(EC) No 1223/2009","2004/93/EC","","0474/01-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC;0825/04-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC","","POTASSIUM BROMATE","Carcinogenic Cat. 1B  ",15/10/2010
462,"Carbon monoxide","630-08-0","211-128-3","(EC) No 1223/2009","2004/93/EC","","0474/01-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC;0825/04-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC","","","Reprotoxic Cat. 1A  ",15/10/2010
463,"Buta -1,3-diene, see also entries 464-611","106-99-0","203-450-8","(EC) No 1223/2009","2004/93/EC","","0474/01-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC;0825/04-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC","","","Carcinogenic Cat. 1A  Mutagenic Cat. 1B  ",20/10/2010
464,"Isobutane, if it contains = >0,1% w/w Butadiene","75-28-5","200-857-2","(EC) No 1223/2009","2004/93/EC","","0474/01-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC;0825/04-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC","","","Carcinogenic Cat. 1A  Mutagenic Cat. 1B  ",15/10/2010
465,"Butane, if it contains = >0,1 % w/w Butadiene","106-97-8","203-448-7","(EC) No 1223/2009","2004/93/EC","","0474/01-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC;0825/04-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC","","","Carcinogenic Cat. 1A  Mutagenic Cat. 1B  ",15/10/2010
466,"Gases (petroleum), C3 -4, if they contain > 0.1% w/w Butadiene","68131-75-9","268-629-5","(EC) No 1223/2009","2004/93/EC","","0474/01-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC;0825/04-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC","","","Carcinogenic Cat. 1B  Mutagenic Cat. 1B  ",15/10/2010
467,"Tail gas (petroleum), catalytic cracked distillate and catalytic cracked naphtha fractionation absorber, if it contain > 0.1% w/w Butadiene","68307-98-2","269-617-2","(EC) No 1223/2009","2004/93/EC","","0474/01-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC;0825/04-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC","","","Carcinogenic Cat. 1B  Mutagenic Cat. 1B  ",15/10/2010
468,"Tail gas (petroleum), catalytic polymn. naphtha fractionation stabilizer, if it contains> 0.1 % w/w Butadiene","68307-99-3","269-618-8","(EC) No 1223/2009","2004/93/EC","","0474/01-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC;0825/04-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC","","","Carcinogenic Cat. 1B  Mutagenic Cat. 1B  ",15/10/2010
469,"Tail gas (petroleum), catalytic reformed naphtha fractionation stabilizer, hydrogen sulfide -free, if it contains > 0.1% w/w Butadiene","68308-00-9","269-619-3","(EC) No 1223/2009","2004/93/EC","","0474/01-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC;0825/04-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC","","","Carcinogenic Cat. 1B  Mutagenic Cat. 1B  ",15/10/2010
470,"Tail gas (petroleum), cracked distillate hydrotreater stripper, if it contains > 0.1% w/w Butadiene","68308-01-0","269-620-9","(EC) No 1223/2009","2004/93/EC","","0474/01-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC;0825/04-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC","","","Carcinogenic Cat. 1B  Mutagenic Cat. 1B  ",15/10/2010
471,"Tail gas (petroleum), gas oil catalytic cracking absorber, if it contains > 0.1 % w/w Butadiene","68308-03-2","269-623-5","(EC) No 1223/2009","2004/93/EC","","0474/01-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC;0825/04-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC","","","Carcinogenic Cat. 1B  Mutagenic Cat. 1B  ",15/10/2010
472,"Tail gas (petroleum), gas recovery plant, if it contains > 0.1 % w/w Butadiene","68308-04-3","269-624-0","(EC) No 1223/2009","2004/93/EC","","0474/01-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC;0825/04-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC","","(*)Distillates (coal tar), benzole fraction","Carcinogenic Cat. 1B  Mutagenic Cat. 1B  ",15/10/2010
473,"Tail gas (petroleum), gas recovery plant deethanizer, if it contains > 0.1% w/w Butadiene","68308-05-4","269-625-6","(EC) No 1223/2009","2004/93/EC","","0474/01-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC;0825/04-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC","","","Carcinogenic Cat. 1B  Mutagenic Cat. 1B  ",15/10/2010
474,"Tail gas (petroleum), hydrodesulfurised distillate and hydrodesulfurized naphtha fractionator, acid -free, if it contains > 0.1% w/w Butadiene","68308-06-5","269-626-1","(EC) No 1223/2009","2004/93/EC","","0474/01-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC;0825/04-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC","","","Carcinogenic Cat. 1B  Mutagenic Cat. 1B  ",15/10/2010
475,"Tail gas (petroleum), hydrodesulfurized vacuum gas oil stripper, hydrogen sulfide -free, if it contains > 0.1% w/w Butadiene","68308-07-6","269-627-7","(EC) No 1223/2009","2004/93/EC","","0474/01-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC;0825/04-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC","","","Carcinogenic Cat. 1B  Mutagenic Cat. 1B  ",15/10/2010
476,"Tail gas (petroleum), isomerized naphtha fractionation stabilizer, if it contains > 0,1% w/w Butadiene","68308-08-7","269-628-2","(EC) No 1223/2009","2004/93/EC","","0474/01-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC;0825/04-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC","","","Carcinogenic Cat. 1A  Mutagenic Cat. 1B  ",15/10/2010
477,"Tail gas (petroleum), light straight -run naphtha stabilizer, hydrogen sulfide-free, if it contains > 0.1% w/w Butadiene","68308-09-8","269-629-8","(EC) No 1223/2009","2004/93/EC","","0474/01-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC;0825/04-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC","","","Carcinogenic Cat. 1B  Mutagenic Cat. 1B  ",15/10/2010
478,"Tail gas (petroleum), straight -run distillate hydrodesulfurized, hydrogen sulfide-free, if it contains > 0.1% w/w Butadiene","68308-10-1","269-630-3","(EC) No 1223/2009","2004/93/EC","","0474/01-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC;0825/04-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC","","","Carcinogenic Cat. 1B  Mutagenic Cat. 1B  ",15/10/2010
479,"Tail gas (petroleum), propane -propylene alkylation feed prep deethanizer, if it contains > 0.1 % w/w Butadiene","68308-11-2","269-631-9","(EC) No 1223/2009","2004/93/EC","","0474/01-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC;0825/04-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC","","","Carcinogenic Cat. 1B  Mutagenic Cat. 1B  ",15/10/2010
480,"Tail gas (petroleum), vacuum gas oil hydrodesulfurized, hydrogen sulfide -free, if it contains > 0.1 % w/w Butadiene","68308-12-3","269-632-4","(EC) No 1223/2009","2004/93/EC","","0474/01-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EEC;0825/04-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC","","","Carcinogenic Cat. 1B  Mutagenic Cat. 1B  ",15/10/2010
