sep=,

File creation date: 20/02/2016
Annex III,Last update: 05/08/2015
LIST OF SUBSTANCES WHICH COSMETIC PRODUCTS MUST NOT CONTAIN EXCEPT SUBJECT TO THE RESTRICTIONS LAID DOWN

Substance identification,Restrictions

Reference number,Chemical name / INN,Name of Common Ingredients Glossary,CAS Number,EC Number,"Product Type, body parts",Maximum concentration in ready for use preparation,Other,Wording of conditions of use and warnings,Regulation,Regulated By,Other Directives/Regulations,SCCS opinions,Chemical/IUPAC Name,Identified INGREDIENTS or substances e.g.,CMR,Update date
76,"2 -Propenal, 3-phenyl-  ","CINNAMAL ","104-55-2","203-213-9","","","The presence of the substance must be indicated in the list of ingredients referred to in Article 6(1)g when its concentration exceeds:   - 0.001% in leave-on products - 0.01% in rinse-off products","","(EC) No 1223/2009","2003/15/EC","","0450/01-Memorandum on the SCCNFP Opinion concerning Fragrance Allergy;0673/03-Opinion concerning Essential Oils;0017/98-Opinion concerning Fragrance Allergy in Consumers - A Review of the Problem - Analysis of the need for appropriate Consumer Information and Identification of Consumer Allergens;0202/99-Opinion concerning the Interim Position on Fragrance Allergy","","CINNAMAL","",17/10/2010
77,"2H -1-Benzopyran-2-one  ","COUMARIN","91-64-5","202-086-7","","","The presence of the substance must be indicated in the list of ingredients referred to in Article 19(1)g when its concentration exceeds:   - 0.001% in leave-on products - 0.01% in rinse-off products","","(EC) No 1223/2009","2003/15/EC","","0450/01-Memorandum on the SCCNFP Opinion concerning Fragrance Allergy;0673/03-Opinion concerning Essential Oils;0935/05-Opinion on Coumarin (sensitisation only);0017/98-Opinion concerning Fragrance Allergy in Consumers - A Review of the Problem - Analysis of the need for appropriate Consumer Information and Identification of Consumer Allergens;0202/99-Opinion concerning the Interim Position on Fragrance Allergy","","COUMARIN","",17/10/2010
78,"2,6 -Octadien-1-ol, 3,7-dimethyl-, (2E)-   ","GERANIOL","106-24-1","203-377-1","","","The presence of the substance must be indicated in the list of ingredients referred to in Article 19(1)g when its concentration exceeds:   - 0.001% in leave-on products - 0.01% in rinse-off products","","(EC) No 1223/2009","2003/15/EC","","0450/01-Memorandum on the SCCNFP Opinion concerning Fragrance Allergy;0673/03-Opinion concerning Essential Oils;0017/98-Opinion concerning Fragrance Allergy in Consumers - A Review of the Problem - Analysis of the need for appropriate Consumer Information and Identification of Consumer Allergens;0202/99-Opinion concerning the Interim Position on Fragrance Allergy","","GERANIOL","",17/10/2010
79,"3 and 4 -(4-Hydroxy-4-methylpentyl)cyclohex-3-ene-1-carbaldehyde ","HYDROXYISOHEXYL 3-CYCLOHEXENE CARBOXALDEHYDE ","31906-04-4 / 51414-25-6","250-863-4 / 257-187-9","","","The presence of the substance must be indicated in the list of ingredients referred to in Article 19(1)g when its concentration exceeds:   - 0.001% in leave-on products - 0.01% in rinse-off products","","(EC) No 1223/2009","2003/15/EC","","0450/01-Memorandum on the SCCNFP Opinion concerning Fragrance Allergy;0673/03-Opinion concerning Essential Oils;0743/03-Opinion on Hydroxyisohexyl 3-Cyclohexene Carboxaldehyde (Lyral);0838/04-Opinion on Hydroxyisohexyl 3-Cyclohexene Carboxaldehyde (Lyral);0017/98-Opinion concerning Fragrance Allergy in Consumers - A Review of the Problem - Analysis of the need for appropriate Consumer Information and Identification of Consumer Allergens;0202/99-Opinion concerning the Interim Position on Fragrance Allergy","","HYDROXYISOHEXYL 3-CYCLOHEXENE CARBOXALDEHYDE","",17/10/2010
80,"4 -Methoxybenzyl alcohol","ANISE ALCOHOL ","105-13-5","203-273-6","","","The presence of the substance must be indicated in the list of ingredients referred to in Article 19(1)g when its concentration exceeds:   - 0.001% in leave-on products - 0.01% in rinse-off products","","(EC) No 1223/2009","2003/15/EC","","0450/01-Memorandum on the SCCNFP Opinion concerning Fragrance Allergy;0673/03-Opinion concerning Essential Oils;0017/98-Opinion concerning Fragrance Allergy in Consumers - A Review of the Problem - Analysis of the need for appropriate Consumer Information and Identification of Consumer Allergens;0202/99-Opinion concerning the Interim Position on Fragrance Allergy","","ANISE ALCOHOL","",04/11/2010
81,"2 -Propenoic acid, 3-phenyl-, phenylmethyl ester ","BENZYL CINNAMATE","103-41-3","203-109-3","","","The presence of the substance must be indicated in the list of ingredients referred to in Article 19(1)g when its concentration exceeds:   - 0.001% in leave-on products - 0.01% in rinse-off products","","(EC) No 1223/2009","2003/15/EC","","0450/01-Memorandum on the SCCNFP Opinion concerning Fragrance Allergy;0673/03-Opinion concerning Essential Oils;0017/98-Opinion concerning Fragrance Allergy in Consumers - A Review of the Problem - Analysis of the need for appropriate Consumer Information and Identification of Consumer Allergens;0202/99-Opinion concerning the Interim Position on Fragrance Allergy","","BENZYL CINNAMATE","",17/10/2010
82,"2,6,10 -Dodecatrien-1-ol, 3,7,11-trimethyl-  ","FARNESOL","4602-84-0","225-004-1","","","The presence of the substance must be indicated in the list of ingredients referred to in Article 19(1)g when its concentration exceeds:   - 0.001% in leave-on products - 0.01% in rinse-off products","","(EC) No 1223/2009","2003/15/EC","","0450/01-Memorandum on the SCCNFP Opinion concerning Fragrance Allergy;0673/03-Opinion concerning Essential Oils;1153/08-Opinion on Dermal Sensitization Quantitative Risk Assesment  (QRA: Citral, farnesol and phenylacetaldehyde);0017/98-Opinion concerning Fragrance Allergy in Consumers - A Review of the Problem - Analysis of the need for appropriate Consumer Information and Identification of Consumer Allergens;0202/99-Opinion concerning the Interim Position on Fragrance Allergy","","FARNESOL","",17/10/2010
83,"2 -(4-tert-Butylbenzyl)propionaldehyde ","BUTYLPHENYL METHYLPROPIONAL","80-54-6","201-289-8","","","The presence of the substance must be indicated in the list of ingredients referred to in Article 19(1)g when its concentration exceeds:   - 0.001% in leave-on products - 0.01% in rinse-off products","","(EC) No 1223/2009","2003/15/EC","","0450/01-Memorandum on the SCCNFP Opinion concerning Fragrance Allergy;0673/03-Opinion concerning Essential Oils;0017/98-Opinion concerning Fragrance Allergy in Consumers - A Review of the Problem - Analysis of the need for appropriate Consumer Information and Identification of Consumer Allergens;0202/99-Opinion concerning the Interim Position on Fragrance Allergy","BMHCA; Lilial","BUTYLPHENYL METHYLPROPIONAL","",17/10/2010
84,"1,6 -Octadien-3-ol, 3,7-dimethyl-  ","LINALOOL ","78-70-6 ","201-134-4 ","","","The presence of the substance must be indicated in the list of ingredients referred to in Article 19(1)g when its concentration exceeds:   - 0.001% in leave-on products - 0.01% in rinse-off products","","(EC) No 1223/2009","2003/15/EC","","0450/01-Memorandum on the SCCNFP Opinion concerning Fragrance Allergy;0673/03-Opinion concerning Essential Oils;0760/03-Opinion concerning Linalool;0017/98-Opinion concerning Fragrance Allergy in Consumers - A Review of the Problem - Analysis of the need for appropriate Consumer Information and Identification of Consumer Allergens;0202/99-Opinion concerning the Interim Position on Fragrance Allergy","3,7-dimethyl-1,6-octadien-3-ol  
","(**)D-ALLO-OCIMENOL;(**)L-ALLO-OCIMENOL;LINALOOL","",17/10/2010
85,"Benzyl benzoate ","BENZYL BENZOATE ","120-51-4","204-402-9","","","The presence of the substance must be indicated in the list of ingredients referred to in Article 19(1)g when its concentration exceeds:   - 0.001% in leave-on products - 0.01% in rinse-off products","","(EC) No 1223/2009","2003/15/EC","","0450/01-Memorandum on the SCCNFP Opinion concerning Fragrance Allergy;0673/03-Opinion concerning Essential Oils;0017/98-Opinion concerning Fragrance Allergy in Consumers - A Review of the Problem - Analysis of the need for appropriate Consumer Information and Identification of Consumer Allergens;0202/99-Opinion concerning the Interim Position on Fragrance Allergy","","BENZYL BENZOATE","",17/10/2010
86,"Citronellol /+ - 3,7-dimethyloct-6-en-1-ol ","CITRONELLOL","106-22-9 / 26489-01-0","203-375-0 / 247-737-6","","","The presence of the substance must be indicated in the list of ingredients referred to in Article 19(1)g when its concentration exceeds:   - 0.001% in leave-on products - 0.01% in rinse-off products","","(EC) No 1223/2009","2003/15/EC","","0450/01-Memorandum on the SCCNFP Opinion concerning Fragrance Allergy;0673/03-Opinion concerning Essential Oils;0017/98-Opinion concerning Fragrance Allergy in Consumers - A Review of the Problem - Analysis of the need for appropriate Consumer Information and Identification of Consumer Allergens;0202/99-Opinion concerning the Interim Position on Fragrance Allergy","","CITRONELLOL","",17/10/2010
87,"2 -Benzylideneoctanal","HEXYL CINNAMAL","101-86-0","202-983-3","","","The presence of the substance must be indicated in the list of ingredients referred to in Article 19(1)g when its concentration exceeds:   - 0.001% in leave-on products - 0.01% in rinse-off products","","(EC) No 1223/2009","2003/15/EC","","0450/01-Memorandum on the SCCNFP Opinion concerning Fragrance Allergy;0673/03-Opinion concerning Essential Oils;0017/98-Opinion concerning Fragrance Allergy in Consumers - A Review of the Problem - Analysis of the need for appropriate Consumer Information and Identification of Consumer Allergens;0202/99-Opinion concerning the Interim Position on Fragrance Allergy","","HEXYL CINNAMAL","",17/10/2010
88,"Limonene","LIMONENE","5989-27-5","227-813-5","","","The presence of the substance must be indicated in the list of ingredients referred to in Article 19(1)(g) when its concentration exceeds:   - 0.001% in leave-on products - 0.01% in rinse-off products Peroxide value less than 20 mmoles/L (15)  (15) This limit applies to the substance and  not to the finished cosmetic product.","","(EC) No 344/2013","","","0392/00-An Initial List of Perfumery Materials which must not form part of Cosmetic products except subject to the restrictions and conditions laid down;0450/01-Memorandum on the SCCNFP Opinion concerning Fragrance Allergy;0673/03-Opinion concerning Essential Oils;0017/98-Opinion concerning Fragrance Allergy in Consumers - A Review of the Problem - Analysis of the need for appropriate Consumer Information and Identification of Consumer Allergens;0202/99-Opinion concerning the Interim Position on Fragrance Allergy","d-Limonene(4R)-1- Methyl-4-(1-methylethenyl) cyclohexene","","",17/05/2013
89,"Methyl 2 -Octynoate","","111-12-6","203-836-6","(a) Oral products (b) Other products","(b) 0.01% when used alone When present in combination with methyl octine carbonate, the combined level in the finished product shall not exceed 0,01 % (of which methyl octine carbonate shall not be more than 0,002 %)","(a)(b) The presence of the substance must be indicated in the list of ingredients referred to in Article 19(1)(g) when its concentration exceeds:   - 0.001% in leave-on products - 0.01% in rinse-off products","","(EC) No 344/2013","","","0392/00-An Initial List of Perfumery Materials which must not form part of Cosmetic products except subject to the restrictions and conditions laid down;0450/01-Memorandum on the SCCNFP Opinion concerning Fragrance Allergy;0673/03-Opinion concerning Essential Oils;1023/06-Opinion on Clarifications to SCCNFP/0392/00 An initial List of Perfumery Materials which must not form part of Cosmetic Products except subject to the Restrictions and Conditions laid down;0017/98-Opinion concerning Fragrance Allergy in Consumers - A Review of the Problem - Analysis of the need for appropriate Consumer Information and Identification of Consumer Allergens;0202/99-Opinion concerning the Interim Position on Fragrance Allergy","Methyl Oct-2-ynoate; Methyl heptine carbonate","","",17/05/2013
90,"3 -Methyl-4-(2,6,6-trimethyl-2-cyclohexen-1-yl)-3-buten-2-one ","ALPHA-ISOMETHYL IONONE","127-51-5","204-846-3","","","The presence of the substance must be indicated in the list of ingredients referred to in Article 19(1)g when its concentration exceeds:   - 0.001% in leave-on products - 0.01% in rinse-off products","","(EC) No 1223/2009","2003/15/EC","","0450/01-Memorandum on the SCCNFP Opinion concerning Fragrance Allergy;0673/03-Opinion concerning Essential Oils;0017/98-Opinion concerning Fragrance Allergy in Consumers - A Review of the Problem - Analysis of the need for appropriate Consumer Information and Identification of Consumer Allergens;0202/99-Opinion concerning the Interim Position on Fragrance Allergy","","ALPHA-ISOMETHYL IONONE","",17/10/2010
91,"Oak moss extract ","EVERNIA PRUNASTRI EXTRACT","90028-68-5 ","289-861-3","","","The presence of the substance must be indicated in the list of ingredients referred to in Article 19(1)g when its concentration exceeds:   - 0.001% in leave-on products - 0.01% in rinse-off products","","(EC) No 1223/2009","2003/15/EC","","0421/00-Opinion concerning Oakmoss/Treemoss Extracts And Appropriate Consumer Information;0450/01-Memorandum on the SCCNFP Opinion concerning Fragrance Allergy;0673/03-Opinion concerning Essential Oils;0847/04-Opinion on Atranol and Chloroatranol in Natural Extracts;1131/07-Opinion on Oak Moss / Tree Moss (sensitisation only);0017/98-Opinion concerning Fragrance Allergy in Consumers - A Review of the Problem - Analysis of the need for appropriate Consumer Information and Identification of Consumer Allergens;0202/99-Opinion concerning the Interim Position on Fragrance Allergy","","EVERNIA PRUNASTRI EXTRACT;(**)EVERNIA PRUNASTRI LICHEN EXTRACT","",17/10/2010
92,"Treemoss extract ","EVERNIA FURFURACEA EXTRACT","90028-67-4","289-860-8 ","","","The presence of the substance must be indicated in the list of ingredients referred to in Article 19(1)g when its concentration exceeds:   - 0.001% in leave-on products - 0.01% in rinse-off products","","(EC) No 1223/2009","2003/15/EC","","0421/00-Opinion concerning Oakmoss/Treemoss Extracts And Appropriate Consumer Information;0450/01-Memorandum on the SCCNFP Opinion concerning Fragrance Allergy;0673/03-Opinion concerning Essential Oils;0847/04-Opinion on Atranol and Chloroatranol in Natural Extracts;1131/07-Opinion on Oak Moss / Tree Moss (sensitisation only);0017/98-Opinion concerning Fragrance Allergy in Consumers - A Review of the Problem - Analysis of the need for appropriate Consumer Information and Identification of Consumer Allergens;0202/99-Opinion concerning the Interim Position on Fragrance Allergy","","EVERNIA FURFURACEA EXTRACT;(**)EVERNIA FURFURACEA LICHEN EXTRACT","",17/10/2010
93,"2,4 -Pyrimidinediamine, 3-oxide ","DIAMINOPYRIMIDINE OXIDE","74638-76-9","-","Hair products","1.5%","","","(EC) No 1223/2009","2003/83/EC","","0215/99-Opinion concerning Diaminopyrimidine oxide (2,4-DPO)","","DIAMINOPYRIMIDINE OXIDE","",04/11/2010
94,"Dibenzoyl peroxide","BENZOYL PEROXIDE","94-36-0","202-327-6","Artificial nail systems","0.7% (after mixing for use)","Professional use ","For professional use only  Avoid skin contact Read directions for use carefully","(EC) No 1223/2009","2003/83/EC","","0486/01-Opinion on The Use of Benzoyl Peroxide (BPO), Hydroquinone (HQ), Hydroquinone methylether (MEHQ) in artificial nail systems","","BENZOYL PEROXIDE","",04/11/2010
95,"Hydroquinone methylether / Mequinol","P-HYDROXYANISOLE","150-76-5","205-769-8","Artificial nail systems","0.02% (after mixing for use)","Professional use","For professional use only Avoid skin contact  Read directions for use carefully","(EC) No 1223/2009","2003/83/EC","","0486/01-Opinion on The Use of Benzoyl Peroxide (BPO), Hydroquinone (HQ), Hydroquinone methylether (MEHQ) in artificial nail systems","4-methoxyphenol","P-HYDROXYANISOLE","",04/11/2010
96,"5 -tert-Butyl-2,4,6-trinitro-m-xylene  ","MUSK XYLENE ","81-15-2","201-329-4","All cosmetic products, with the exception of oral products ","(a) 1.0% in fine fragrance (b) 0.4% in eau de toilette (c) 0.03% in other products ","","","(EC) No 1223/2009","2004/88/EC","1272/2008 ","0634/03-Opinion on Musk ketone and Musk xylene;0817/04-Opinion on Musk ketone and Musk xylene;0163/99-Opinion on Musk xylene","","MUSK XYLENE","Carcinogenic Cat. 2  ",18/02/2011
97,"4' -tert-Butyl-2',6'-dimethyl-3',5'-dinitroacetophenone  ","MUSK KETONE ","81-14-1","201-328-9","All cosmetic products, with the exception of oral care products ","(a) 1.4% in fine fragrance (b) 0.56% in eau de toilette (c) 0.042% in other products ","","","(EC) No 1223/2009","2004/88/EC","790/2009 ","0634/03-Opinion on Musk ketone and Musk xylene;0817/04-Opinion on Musk ketone and Musk xylene;0162/99-Opinion on Musk ketone","","MUSK KETONE","Carcinogenic Cat. 2  ",18/02/2011
98,"Benzoic acid, 2 -hydroxy- (10) ","SALICYLIC ACID","69-72-7","200-712-3","(a) Rinse -off hair products (b) Other products ","(a) 3.0% (b) 2.0% ","Not to be used in preparations for children under 3 years of age, except for shampoos For purposes other than inhibiting the development of micro -organisms in the product. This purpose has to be apparent from the presentation of the product ","Not to be used for children under three years of age (11)","(EC) No 1223/2009","2007/17/EC","","0370/00-Position paper on the Safety of alpha-Hydroxy Acids;0522/01-Opinion concerning Salicylic Acid;0799/04-Updated position paper concerning consumer Safety of alpha-hydroxy acids","","SALICYLIC ACID","",17/10/2010
99,"Inorganic sulfites and bisulfites (12)","","","","(a) Oxidative hair dye products (b) Hair straightening products (c) Self -tanning products for the face (d) Other self-tanning products ","(a) 0.67% (as free SO2) (b) 6.7% (as free SO2) (c) 0.45% (as free SO2) (d) 0.40% (as free SO2) ","For purposes other than inhibiting the development of micro -organisms in the product. This purpose has to be apparent from the presentation of the product   ","","(EC) No 1223/2009","2007/17/EC","","0648/03-Opinion concerning Inorganic Sulfites and Bisulfites","","AMMONIUM BISULFITE;AMMONIUM SULFITE;POTASSIUM METABISULFITE;POTASSIUM SULFITE;SODIUM BISULFITE;SODIUM METABISULFITE;SODIUM SULFITE","",17/10/2010
100,"1 -(4-Chlorophenyl)-3-(3,4-dichlorophenyl)urea (13) ","TRICLOCARBAN","101-20-2","202-924-1","Rinse -off products","1.5%","Purity criteria:  3, 3', 4, 4' -Tetrachloroazobenzene<=1ppm;  3, 3', 4, 4'-Tetrachloroazoxybenzene<=1ppm.  For purposes other than inhibiting the development of micro-organisms in the product. This purpose has to be apparent from the presentation of the product","","(EC) No 1223/2009","2007/17/EC","","0851/04-Opinion on Triclocarban - For other uses than as a preservative","","TRICLOCARBAN","",04/11/2010
101,"Pyrithione zinc","ZINC PYRITHIONE","13463-41-7","236-671-3","Leave -on hair products","0,1 %","For purposes other than inhibiting the development of micro -organisms in the product. This purpose has to be apparent from the presentation of the product","","(EC) No 1223/2009","","","","","","",08/07/2015
102,"1,2 -Dimethoxy-4-(2-propenyl)-benzene ","METHYL EUGENOL","93-15-2","202-223-0","(a) Fine fragrance (b) Eau de toilette (c) Fragrance cream (d) Other leave -on products and oral products (e) Rinse-off products ","(a) 0.01% (b) 0.004% (c) 0.002% (d) 0.0002% (e) 0.001%","","","(EC) No 1223/2009","","","0373/00-Opinion concerning Methyleugenol","","","",20/10/2010
103,"Abies alba oil and extract","ABIES ALBA CONE OIL; ABIES ALBA CONE EXTRACT; ABIES ALBA LEAF OIL; ABIES ALBA LEAF CERA; ABIES ALBA NEEDLE EXTRACT; ABIES ALBA NEEDLE OIL","90028-76-5","289-870-2","","","Peroxide value less than 10 mmoles/L  (15 )","(15 ) This limit applies to the substance and not to the finished cosmetic product.’","(EC) No 344/2013","","","0392/00-An Initial List of Perfumery Materials which must not form part of Cosmetic products except subject to the restrictions and conditions laid down","","","",17/05/2013
105,"Abies pectinata oil and extract","","92128-34-2","295-728-0","","","Peroxide value less than 10 mmoles/L  (15 )","(15 ) This limit applies to the substance and not to the finished cosmetic product.’","(EC) No 344/2013","","","0392/00-An Initial List of Perfumery Materials which must not form part of Cosmetic products except subject to the restrictions and conditions laid down","","","",17/05/2013
106,"Abies sibirica oil and extract","","91697-89-1","294-351-9","","","Peroxide value less than 10 mmoles/L (15 ) ","(15 ) This limit applies to the substance and not to the finished cosmetic product.’","(EC) No 1000/2012","","","0392/00-An Initial List of Perfumery Materials which must not form part of Cosmetic products except subject to the restrictions and conditions laid down","","","",17/05/2013
107,"Abies balsamea oil and extract","","85085-34-3","285-364-0","","","Peroxide value less than 10 mmoles/L (15 )","(15 ) This limit applies to the substance and not to the finished cosmetic product.’","(EC) No 344/2013","","","0392/00-An Initial List of Perfumery Materials which must not form part of Cosmetic products except subject to the restrictions and conditions laid down","","","",17/05/2013
